time,mean_air_temperature_2m,min_air_temperature_2m,max_air_temperature_2m,relative_humidity,air_pressure_2m_mbar,precipitation_mm,snow_depth_cm,month,day
2024-05-15 00:00:00,19.12941176,10.1,23,55.62352941,1008.140215,0,0,5,15
2024-05-16 00:00:00,17.5375,10.1,23.5,54.8125,1009.975549,0,0,5,16
2024-05-17 00:00:00,16.24285714,10.8,22.5,47.53571429,1010.282942,0,0,5,17
2024-05-18 00:00:00,17.525,10.5,21.8,52.075,1004.065028,0,0,5,18
2024-05-19 00:00:00,18.3,11.7,22.3,55.8,997.3184797,0,0,5,19
2024-05-20 00:00:00,17.175,11.2,21,52.15,1000.540435,0,0,5,20
2024-05-21 00:00:00,16.225,10.6,19.3,54.525,1005.449892,0,0,5,21
2024-05-22 00:00:00,15.025,11.2,17.2,66.55,1003.203321,1.05,0,5,22
2024-05-23 00:00:00,13.75,10.8,15.5,72.675,1001.992109,0,0,5,23
2024-05-24 00:00:00,13.75,9.7,15.9,68.85,1003.623937,0,0,5,24
2024-05-25 00:00:00,11.85,8.9,12.8,73.7,1005.873792,0,0,5,25
